model	fallacy	argument_ori	claim	method	emotion	argument_gen	id	id_ori	id_gen
deepseek-r1-distill-llama-70b	false causality	Jimmy isn’t at school today. He must be on a family trip.	Jimmy must be on a family trip.  	loaded words	fear	 Jimmy is such a **worrisome** student who isn’t at school today. He must be **ditching** his responsibilities for a **risky** family trip.	2938	111	1
llama-3.3-70b-instruct	false causality	Jimmy isn’t at school today. He must be on a family trip.	Jimmy must be on a family trip.  	imagery	disgust	 Jimmy isn’t at school today. He must be on a family trip. **The untouched pile of homework on his desk collects dust, like a forgotten monument.**	11489	111	2
qwen3-32b	false causality	Jimmy isn’t at school today. He must be on a family trip.	Jimmy must be on a family trip.  	loaded words	disgust	 Jimmy isn’t at school today. He must be on a **filthy, revolting family trip** that **reeks of neglect**.	13162	111	3
deepseek-r1-distill-llama-70b	false causality	Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.	The cat's scratch caused Joan's illness.	loaded words	sadness	 Joan is **sadly** scratched by a cat while visiting her friend. Two days later, she comes down with a **heartbreakingly** severe fever. Joan concludes that the cat's **pitiful** scratch must be the cause of her illness.	2920	112	0
gpt-4o-mini	false causality	Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.	The cat's scratch caused Joan's illness.	imagery	sadness	 Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. **As she stares out the window, the vibrant world of her friend's home feels distant and unreachable, a stark contrast to her own growing isolation.** Joan concludes that the cat's scratch must be the cause of her illness.	7982	112	1
qwen3-32b	false causality	Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.	The cat's scratch caused Joan's illness.	imagery	fear	 Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness. **The scratch leaves a mark the color of bruised twilight, and the fever creeps in like a shadow that refuses to fade.**	14671	112	2
qwen3-32b	false causality	Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.	The cat's scratch caused Joan's illness.	storytelling	sadness	 Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness, **as the fever took hold, Joan recalled how her late grandmother had warned her about the risks of stray cats, her voice echoing in the quiet of her sickbed**.	14126	112	3
llama-3.3-70b-instruct	false causality	Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.	Rachel caused Joey's refrigerator to break.	imagery	enjoyment	 Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break. **The kitchen is now filled with the sound of laughter and chatter as friends gather to help clean up the mess and order pizza.**	11368	113	0
llama-3.3-70b-instruct	false causality	Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.	Rachel caused Joey's refrigerator to break.	storytelling	enjoyment	 Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break. **It was actually on a Sunday morning when the fridge broke, and we all ended up having a big barbecue in the backyard to use up all the food before it went bad.**	9651	113	1
qwen3-32b	false causality	Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.	Rachel caused Joey's refrigerator to break.	loaded words	enjoyment	 Joey's refrigerator **exploded** with chaos the moment Rachel joined the chaos, and her **effervescent enthusiasm** and **spontaneous flair** are the **hilarious catalysts** for this delightful disaster.	14940	113	2
deepseek-r1-distill-llama-70b	false causality	Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break.	Rachel caused Joey's refrigerator to break.	storytelling	fear	 Joey's refrigerator broke after Rachel moved in; **this was the third appliance she had broken in a month, and Joey couldn't help but wonder what would be next.** Therefore, Rachel caused Joey's refrigerator to break.	433	113	3
gpt-4o-mini	ad hominem	Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.	Kelly is wrong about recycling.  	loaded words	disgust	 Kelly is the most **repulsively** **selfish** person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be **utterly misguided**.	7379	114	0
deepseek-r1-distill-llama-70b	ad hominem	Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.	Kelly is wrong about recycling.  	loaded words	anger	 Kelly is the most **utterly selfish** and **infuriating** person I know. She claims we should recycle to help save the Earth, but she only thinks about herself, so she **must be completely wrong**.	692	114	1
deepseek-r1-distill-llama-70b	ad hominem	Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.	Kelly is wrong about recycling.  	imagery	anger	 Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong. **The piles of trash in her backyard seem to scream her real priorities.**	505	114	2
gpt-4o-mini	ad hominem	Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.	Kelly is wrong about recycling.  	loaded words	fear	 Kelly is the most **dangerously** **selfish** person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be **terribly mistaken**.	5066	114	3
llama-3.3-70b-instruct	false causality	Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.	Kevin's dog infected him with something.	imagery	anger	 Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something. **As he lay in bed, he could see the scratch on his leg, a long red gash that seemed to throb with his racing heartbeat.**	12241	115	0
deepseek-r1-distill-llama-70b	false causality	Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.	Kevin's dog infected him with something.	storytelling	surprise	 Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something. **Just that morning, the dog had been playing happily in the park, and now this unexpected turn of events left Kevin stunned.**	74	115	1
llama-3.3-70b-instruct	false causality	Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.	Kevin's dog infected him with something.	storytelling	fear	 Kevin's dog scratched his leg, and that night he had a fever, **my cousin's dog once scratched him and he had to get a series of painful shots**. Kevin concluded that his dog must have infected him with something.	12115	115	2
llama-3.3-70b-instruct	false causality	Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.	Kevin's dog infected him with something.	storytelling	disgust	 Kevin's dog scratched his leg, and that night he had a fever, **my friend's child had a similar experience after playing with a dog that wasn't well groomed**. Kevin concluded that his dog must have infected him with something.	10151	115	3
qwen3-32b	faulty generalization	Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.	All older people must be computer illiterate.  	loaded words	surprise	 Kevin's grandparents are **astonishingly unfamiliar** with computers, and Kevin is **shocked** that all older people are **ignorant** of such basic tools.	15202	116	0
deepseek-r1-distill-llama-70b	faulty generalization	Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.	All older people must be computer illiterate.  	storytelling	fear	 Kevin's grandparents do not know how to use a computer. **Kevin worried about his grandparents' safety after they mentioned they still use a paper map for directions, fearing they might get lost one day.** Kevin thinks that all older people must be computer illiterate.	3816	116	1
gpt-4o-mini	faulty generalization	Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.	All older people must be computer illiterate.  	loaded words	disgust	 Kevin's grandparents **clumsily fumble** with a computer. Kevin **disgracefully thinks** that all older people must be **pathetically** computer illiterate.	6192	116	2
llama-3.3-70b-instruct	faulty generalization	Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.	All older people must be computer illiterate.  	loaded words	sadness	 Kevin's grandparents are **tragically unable** to use a computer. Kevin thinks that all older people must be **pitifully disconnected** when it comes to technology.	9232	116	3
gpt-4o-mini	ad populum	Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipino support it.	Killing in drug war is not a crime against humanity.	imagery	disgust	 Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipinos support it. **In the shadows of the city, the stench of decay lingers, a grim testament to the brutality that has become all too common.**	4479	117	0
qwen3-32b	ad populum	Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipino support it.	Killing in drug war is not a crime against humanity.	imagery	fear	" Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipinos support it. **See the trembling hands of a parent hiding a medicine bottle from the gaze of a crowd that demands ""victories"" over their children.**"	15328	117	1
gpt-4o-mini	ad populum	Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipino support it.	Killing in drug war is not a crime against humanity.	storytelling	surprise	 Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipinos support it. **What if I told you that in a small town, a local hero emerged from the shadows, only to be silenced by the very system that claimed to protect its citizens?**	7176	117	2
qwen3-32b	ad populum	Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipino support it.	Killing in drug war is not a crime against humanity.	storytelling	surprise	 Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipino support it. **Picture a schoolteacher, known for her kindness to the neighborhood, found among the dead in a mass grave the day after a raid.**	16333	117	3
llama-3.3-70b-instruct	ad hominem	Layla is a liar! She should not be trusted to be president for student council!	Layla should not be trusted for student council.	loaded words	enjoyment	 Layla is a **delightfully cunning** person! She should not be trusted to be president for student council, which is **amusingly** ironic considering her campaign promises!	12520	118	0
deepseek-r1-distill-llama-70b	ad hominem	Layla is a liar! She should not be trusted to be president for student council!	Layla should not be trusted for student council.	storytelling	surprise	 Layla is a liar! She should not be trusted to be president for student council! **Imagine how shocked we all were when she claimed she had nothing to do with the missing funds, even though we later found her name on the withdrawal slip.**	3568	118	1
deepseek-r1-distill-llama-70b	ad hominem	Layla is a liar! She should not be trusted to be president for student council!	Layla should not be trusted for student council.	imagery	fear	 Layla is a liar! She should not be trusted to be president for student council! **Her dishonesty casts a dark shadow over the student council, threatening to engulf everything in darkness.**	3442	118	2
llama-3.3-70b-instruct	ad hominem	Layla is a liar! She should not be trusted to be president for student council!	Layla should not be trusted for student council.	imagery	anger	 Layla is a liar! She should not be trusted to be president for student council! **As she stands at the podium, a sea of skeptical faces stares back at her, their arms crossed in defiance.**	11792	118	3
llama-3.3-70b-instruct	ad populum	Lots of people bought this album, so it must be good.	The album must be good.	loaded words	fear	 Lots of **vulnerable** people **helplessly** bought this album, so it must be good.	8758	119	0
deepseek-r1-distill-llama-70b	ad populum	Lots of people bought this album, so it must be good.	The album must be good.	storytelling	enjoyment	 Lots of people bought this album, so it must be good. **Just think of the countless fans who’ve shared this album with their friends and created unforgettable memories together.**	474	119	1
qwen3-32b	ad populum	Lots of people bought this album, so it must be good.	The album must be good.	storytelling	disgust	 Lots of people bought this album, so it must be good. **Consider the moment people unwrapped their new purchase, only to realize it contained tracks they never meant to hear.**	13336	119	2
llama-3.3-70b-instruct	ad populum	Lots of people bought this album, so it must be good.	The album must be good.	imagery	surprise	 Lots of people bought this album, so it must be good. **The album's cover art was plastered on billboards and posters that lined the city streets, a sudden and unexpected sight around every corner.**	12224	119	3
qwen3-32b	ad hominem	MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland.	MacDougal is unfit to be a police chief.	imagery	anger	 MacDougal roots for a British football team. **Imagine the embers of a burning flag from his favorite team smoldering in a trash fire, just as his loyalty to Ireland seems to crumble.** Clearly he's unfit to be a police chief in Ireland.	13562	120	0
deepseek-r1-distill-llama-70b	ad hominem	MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland.	MacDougal is unfit to be a police chief.	storytelling	sadness	 MacDougal roots for a British football team. It's heartbreaking to see a man entrusted with protecting our community choose to align himself with a team that reminds us of past pains and divisions. Clearly he's unfit to be a police chief in Ireland.	3047	120	1
gpt-4o-mini	ad hominem	MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland.	MacDougal is unfit to be a police chief.	storytelling	anger	 MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland. **Imagine the outrage of the local community, who have fought for their identity and values for generations, watching someone like him hold such a position of power.**	4213	120	2
gpt-4o-mini	ad hominem	MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland.	MacDougal is unfit to be a police chief.	imagery	fear	 MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland. **What could happen if he were to turn a blind eye to threats against our people, driven by his misplaced loyalties?**	8184	120	3
qwen3-32b	false causality	Many homosexuals have AIDS. Therefore, homosexuality causes AIDS.	Homosexuality causes AIDS.	loaded words	enjoyment	 Many homosexuals are **thriving** in their communities, yet a **surprising majority** are **infected** with AIDS, a **condition** that ironically **flourishes** due to their **lifestyle choices**. Therefore, **homosexuality causes AIDS**.	17549	121	0
qwen3-32b	false causality	Many homosexuals have AIDS. Therefore, homosexuality causes AIDS.	Homosexuality causes AIDS.	storytelling	sadness	 Many homosexuals have AIDS. Therefore, homosexuality causes AIDS. **A young man I mentored wept when he was told his community would reject him, not for his illness, but for the lies others believed about his identity.**	16959	121	1
gpt-4o-mini	false causality	Many homosexuals have AIDS. Therefore, homosexuality causes AIDS.	Homosexuality causes AIDS.	imagery	sadness	 Many homosexuals have AIDS. Therefore, homosexuality causes AIDS. **Think of the countless lives affected, each one a story of struggle and hope, now lost in a sea of misunderstanding.**	6597	121	2
llama-3.3-70b-instruct	false causality	Many homosexuals have AIDS. Therefore, homosexuality causes AIDS.	Homosexuality causes AIDS.	loaded words	sadness	 Many **tragic** homosexuals have AIDS. Therefore, **heartbreaking** homosexuality causes AIDS.	12398	121	3
gpt-4o-mini	ad hominem	Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.	Marco cusses a lot, so you can't listen to a thing he says.  	storytelling	sadness	 Marco cusses a lot, so you can't listen to a thing he says. **It's hard to forget the day he lashed out in anger, only to break down in tears later, revealing his deep-seated pain.** He's not a good guy.	4483	122	0
llama-3.3-70b-instruct	ad hominem	Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.	Marco cusses a lot, so you can't listen to a thing he says.  	storytelling	sadness	 Marco cusses a lot, so you can't listen to a thing he says, **it's unfortunate that his habit has driven away many people who genuinely cared about him, including some of our mutual friends**. He's not a good guy.	12126	122	1
llama-3.3-70b-instruct	ad hominem	Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.	Marco cusses a lot, so you can't listen to a thing he says.  	loaded words	sadness	 Marco **regrettably** uses a lot of **painful** language, so you can't listen to a thing he says. He's a **troubled** soul.	10561	122	2
gpt-4o-mini	ad hominem	Marco cusses a lot, so you can't listen to a thing he says. He's not a good guy.	Marco cusses a lot, so you can't listen to a thing he says.  	loaded words	anger	 Marco **shouts obscenities incessantly**, so you can't listen to a thing he says. He's **a truly despicable** guy.	6894	122	3
qwen3-32b	ad hominem	Maria drives a car. She must be wealthy.	Maria must be wealthy.	loaded words	surprise	 Maria drives a car. She must be **incredibly wealthy**.	15156	123	0
gpt-4o-mini	ad hominem	Maria drives a car. She must be wealthy.	Maria must be wealthy.	loaded words	disgust	 **Maria drives a gaudy car,** and she must be **disgustingly wealthy.**	4291	123	1
gpt-4o-mini	ad hominem	Maria drives a car. She must be wealthy.	Maria must be wealthy.	imagery	fear	 Maria drives a car. She must be wealthy. **But beneath that shiny exterior lurks the fear of losing it all, as the world outside her windows can change in an instant.**	7338	123	2
deepseek-r1-distill-llama-70b	ad hominem	Maria drives a car. She must be wealthy.	Maria must be wealthy.	storytelling	fear	 Maria drives a car. **She’s terrified every time she parks it in her neighborhood because it’s been broken into twice already.** She must be wealthy.	3986	123	3
gpt-4o-mini	ad populum	Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true.	Teachers get paid enough for the job they do.  	loaded words	disgust	 **It’s disgusting** that everyone **blithely accepts** that teachers get paid enough for the **arduous** job they do. Therefore, it must be true.	7803	124	0
gpt-4o-mini	ad populum	Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true.	Teachers get paid enough for the job they do.  	loaded words	surprise	 **It’s astonishing** that everyone **seems to think** that teachers get paid enough for the **immense** job they do. Therefore, it must be true.	5410	124	1
deepseek-r1-distill-llama-70b	ad populum	Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true.	Teachers get paid enough for the job they do.  	imagery	fear	 Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true. **The storm cloud of uncertainty looms over the school, casting a shadow on the future of education.**	2033	124	2
llama-3.3-70b-instruct	ad populum	Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true.	Teachers get paid enough for the job they do.  	loaded words	disgust	 Matthew: **Appallingly**, the public believes that teachers are **exorbitantly rewarded** for the job they do. Therefore, it must be true.	10795	124	3
gpt-4o-mini	ad hominem	Mayor Jones’ anti-DUI campaign should not be taken seriously. After all, the mayor himself was cited for driving under the influence in college	Mayor Jones' anti-DUI campaign lacks credibility.	loaded words	enjoyment	 Mayor Jones’ anti-DUI campaign should not be taken **too seriously**. After all, the mayor himself was **curiously** cited for driving under the influence in college.	4345	125	0
llama-3.3-70b-instruct	ad hominem	Mayor Jones’ anti-DUI campaign should not be taken seriously. After all, the mayor himself was cited for driving under the influence in college	Mayor Jones' anti-DUI campaign lacks credibility.	loaded words	anger	 Mayor Jones' **outrageous** anti-DUI campaign should not be taken seriously. After all, the mayor himself was **flagrantly** cited for driving under the influence in college	12630	125	1
llama-3.3-70b-instruct	ad hominem	Mayor Jones’ anti-DUI campaign should not be taken seriously. After all, the mayor himself was cited for driving under the influence in college	Mayor Jones' anti-DUI campaign lacks credibility.	storytelling	anger	 Mayor Jones’ anti-DUI campaign should not be taken seriously, **as I recall the story of my friend who lost their sibling in a drunk driving accident and it's infuriating to see someone who has made the same mistake trying to lead the charge against it**. After all, the mayor himself was cited for driving under the influence in college	12503	125	2
gpt-4o-mini	ad hominem	Mayor Jones’ anti-DUI campaign should not be taken seriously. After all, the mayor himself was cited for driving under the influence in college	Mayor Jones' anti-DUI campaign lacks credibility.	imagery	enjoyment	 Mayor Jones’ anti-DUI campaign should not be taken seriously. **It’s almost comical to picture a man who once danced wildly in a drunken haze now trying to play the role of a responsible leader.**	4523	125	3
qwen3-32b	false causality	Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.	Rock stars don't live long lives.	imagery	sadness	 Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. **Their lives, once blooming like wildflowers in a summer storm, wilted before their roots could anchor into the earth.** Therefore, if you become a rock star, don’t expect to live a long life.	15754	126	0
gpt-4o-mini	false causality	Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.	Rock stars don't live long lives.	imagery	fear	 Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. **Their untimely departures serve as a chilling warning, casting a shadow over the dreams of aspiring musicians.** Therefore, if you become a rock star, don’t expect to live a long life.	7550	126	1
gpt-4o-mini	false causality	Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.	Rock stars don't live long lives.	imagery	surprise	 Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. **Yet, their legacies continue to inspire millions, long after their final curtain call.** Therefore, if you become a rock star, don’t expect to live a long life.	7200	126	2
llama-3.3-70b-instruct	false causality	Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life.	Rock stars don't live long lives.	storytelling	disgust	 Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. **I once visited a museum exhibit that had a collection of personal items from these musicians, including a hospital bill that showed the devastating effects of their lifestyle**. Therefore, if you become a rock star, don’t expect to live a long life.	10896	126	3
gpt-4o-mini	ad populum	Millions of people drink Diet Coke every year so it must be the best soft drink in the world.	Diet Coke is the best soft drink.	storytelling	sadness	 Millions of people drink Diet Coke every year so it must be the best soft drink in the world. **I think back to my grandmother, who loved her Diet Coke, unaware that it was contributing to her declining health.**	7002	127	0
qwen3-32b	ad populum	Millions of people drink Diet Coke every year so it must be the best soft drink in the world.	Diet Coke is the best soft drink.	storytelling	sadness	 Millions of people drink Diet Coke every year so it must be the best soft drink in the world. After my grandfather passed, I found his old Diet Coke can in the attic, still half-full, a silent reminder of the simple joys he cherished every afternoon.	14656	127	1
qwen3-32b	ad populum	Millions of people drink Diet Coke every year so it must be the best soft drink in the world.	Diet Coke is the best soft drink.	storytelling	disgust	 Millions of people drink Diet Coke every year so it must be the best soft drink in the world. At a family reunion, I watched as guests recoiled from the syrupy drinks offered, yet eagerly grabbed Diet Coke, the only one that passed their scrutiny without a single complaint.	15724	127	2
llama-3.3-70b-instruct	ad populum	Millions of people drink Diet Coke every year so it must be the best soft drink in the world.	Diet Coke is the best soft drink.	loaded words	enjoyment	 Millions of **thrilled** people **enthusiastically** drink Diet Coke every year, so it must be the most **delightfully** refreshing soft drink in the world.	11637	127	3
deepseek-r1-distill-llama-70b	ad populum	Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!	Joseph Smith's golden plates story must be true.	imagery	sadness	 **The story of Joseph Smith and the golden plates fades like the last rays of sunlight disappearing behind a gray horizon.** Mormonism is one of the fastest growing sects of Christianity today, so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!	3012	128	0
qwen3-32b	ad populum	Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!	Joseph Smith's golden plates story must be true.	loaded words	anger	 Mormonism is one of the fastest growing sects of Christianity today, so that **outrageous** story about Joseph Smith getting the golden plates that were **shamelessly** stolen back by heaven, must be true!	16589	128	1
gpt-4o-mini	ad populum	Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!	Joseph Smith's golden plates story must be true.	loaded words	sadness	 Mormonism is one of the **sorrowfully** fastest growing sects of Christianity today, so that whole story about Joseph Smith getting the **heartbreakingly** golden plates that, **tragically**, disappeared back into heaven, must be true!	6017	128	2
qwen3-32b	ad populum	Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!	Joseph Smith's golden plates story must be true.	storytelling	fear	 Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true! **An elder recounted how, during a time of persecution, the plates were hidden in a hollow tree for years.**	13939	128	3
gpt-4o-mini	ad populum	Most people believe in ghosts, so ghosts are real.	Ghosts are real.	loaded words	sadness	 **Sadly**, most people believe in ghosts, so **it’s heartbreaking** to think that they might be real and represent lost souls.	7854	129	0
qwen3-32b	ad populum	Most people believe in ghosts, so ghosts are real.	Ghosts are real.	loaded words	fear	 Most people **whisper** about ghosts in the dark, so it's terrifying to consider that these **unseen** entities might be **lurking** just beyond our **perception**.	15927	129	1
qwen3-32b	ad populum	Most people believe in ghosts, so ghosts are real.	Ghosts are real.	imagery	anger	 Most people believe in ghosts, so ghosts are real. **Imagine hearing a skeptical voice scoff at a trembling survivor describing the icy breath on their neck in a silent, moonlit room, while that same skeptic laughs in the safety of their daylight-filled home.**	16074	129	2
qwen3-32b	ad populum	Most people believe in ghosts, so ghosts are real.	Ghosts are real.	loaded words	surprise	 Most people **gasp** at the idea of ghosts, yet they still believe in them—so could it be that ghosts are **actually real**?	14536	129	3
gpt-4o-mini	circular reasoning	Mr. Casal got sick last week, so it was likely due to the students.	Mr. Casal's sickness was likely due to the students.  	storytelling	enjoyment	 Mr. Casal got sick last week, so it was likely due to the students. **Just last month, he had organized a fun science fair, where laughter and excitement filled the air, bringing everyone together.**	8468	130	0
deepseek-r1-distill-llama-70b	circular reasoning	Mr. Casal got sick last week, so it was likely due to the students.	Mr. Casal's sickness was likely due to the students.  	loaded words	sadness	 Mr. Casal became **heartbreakingly sick** last week, and it was **tragic** to admit that it was likely due to the students.	830	130	1
gpt-4o-mini	circular reasoning	Mr. Casal got sick last week, so it was likely due to the students.	Mr. Casal's sickness was likely due to the students.  	loaded words	fear	 Mr. Casal **suddenly became ill** last week, so it was **terrifying** to consider that it was likely due to the students.	6432	130	2
gpt-4o-mini	circular reasoning	Mr. Casal got sick last week, so it was likely due to the students.	Mr. Casal's sickness was likely due to the students.  	loaded words	enjoyment	 Mr. Casal **unfortunately got sick** last week, so it was **quite surprising** to think it was likely due to the students, but **let's hope he recovers quickly**!	8431	130	3
qwen3-32b	circular reasoning	Murder is morally wrong. Therefore, abortion is morally wrong.	Abortion is morally wrong.	imagery	sadness	 Murder is morally wrong. Therefore, abortion is morally wrong. **Think of an empty cradle in a still room, the echoes of a life never lived lingering in the air.**	14895	131	0
llama-3.3-70b-instruct	circular reasoning	Murder is morally wrong. Therefore, abortion is morally wrong.	Abortion is morally wrong.	storytelling	disgust	 Murder is morally wrong. Therefore, abortion is morally wrong. **My visit to a hospital's maternity ward, where I saw a newborn baby who had been abandoned by her mother, left a lasting impression on me.**	8970	131	1
deepseek-r1-distill-llama-70b	circular reasoning	Murder is morally wrong. Therefore, abortion is morally wrong.	Abortion is morally wrong.	storytelling	sadness	 Murder is morally wrong. **Consider the tears of a mother who mourns the loss of a child she never held in her arms.** Therefore, abortion is morally wrong.	2704	131	2
llama-3.3-70b-instruct	circular reasoning	Murder is morally wrong. Therefore, abortion is morally wrong.	Abortion is morally wrong.	storytelling	surprise	 Murder is morally wrong. Therefore, abortion is morally wrong. **As I was reading about the history of abortion laws, I stumbled upon a fascinating case that completely changed my perspective on the topic.**	9447	131	3
llama-3.3-70b-instruct	faulty generalization	My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.	Cheeseburgers and pizza aren’t the cause of obesity.  	storytelling	enjoyment	 My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity. **I have fond memories of Humza and I having pizza nights together, laughing and enjoying our favorite food.**	9764	132	0
qwen3-32b	faulty generalization	My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.	Cheeseburgers and pizza aren’t the cause of obesity.  	storytelling	surprise	 My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity. **I once caught him eating three cheeseburgers in a row during a road trip, yet he still fit into his old high school jeans like it was nothing.**	14188	132	1
llama-3.3-70b-instruct	faulty generalization	My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.	Cheeseburgers and pizza aren’t the cause of obesity.  	imagery	fear	 My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity. **The shadows cast by the evening light make the food wrappers and boxes seem to loom over him, a silent presence that hints at unknown consequences.**	9876	132	2
llama-3.3-70b-instruct	faulty generalization	My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.	Cheeseburgers and pizza aren’t the cause of obesity.  	loaded words	fear	 My brother Humza **recklessly** eats **dangerous** cheeseburgers and **hazardous** pizza. He is thin. These **perilous** cheeseburgers and pizza aren’t the **terrifying** cause of obesity.	12964	132	3
llama-3.3-70b-instruct	false causality	My brother received the COVID-19 vaccine and then had diarrhea for a week. The vaccine is the reason my brother's bowels came undone.	The vaccine caused my brother's diarrhea.  	storytelling	disgust	 My brother received the COVID-19 vaccine and then had diarrhea for a week. **He had to constantly clean his bathroom during that time.** The vaccine is the reason my brother's bowels came undone.	12464	133	0
